iterations mrmsd_combined variables
1000 1.91133333333333 mae
2000 1.91133333333333 mae
3000 1.91133333333333 mae
4000 1.91133333333333 mae
5000 1.91133333333333 mae
6000 1.91133333333333 mae
7000 1.91133333333333 mae
8000 1.91133333333333 mae
9000 1.91133333333333 mae
10000 1.91133333333333 mae
1000 0.662 r
2000 0.662 r
3000 0.662 r
4000 0.662 r
5000 0.662 r
6000 0.662 r
7000 0.662 r
8000 0.662 r
9000 0.662 r
10000 0.662 r
1000 1.91133333333333 rho
2000 1.91133333333333 rho
3000 1.91133333333333 rho
4000 1.91133333333333 rho
5000 1.91133333333333 rho
6000 1.91133333333333 rho
7000 1.91133333333333 rho
8000 1.91133333333333 rho
9000 1.91133333333333 rho
10000 1.91133333333333 rho
1000 1.28633333333333 rmse
2000 1.28633333333333 rmse
3000 1.28633333333333 rmse
4000 1.28633333333333 rmse
5000 1.28633333333333 rmse
6000 1.28633333333333 rmse
7000 1.28633333333333 rmse
8000 1.28633333333333 rmse
9000 1.28633333333333 rmse
10000 1.28633333333333 rmse
1000 1.91133333333333 tau
2000 1.91133333333333 tau
3000 2.12166666666667 tau
4000 1.91133333333333 tau
5000 1.91133333333333 tau
6000 1.91133333333333 tau
7000 1.91133333333333 tau
8000 1.91133333333333 tau
9000 1.91133333333333 tau
10000 1.91133333333333 tau
